Tarih,Sicaklik Zone1,Vida Pozisyonu,Sicaklik Zone2,Sicaklik Zone3,Sicaklik Zone4,Sicaklik Zone5,Sicaklik Zone6,Parca Sayisi,Vida_Pres,Kalip_kapama_zamani,itici_Pos,Durum,Oil_Temp,Cycle_t,Enjeksiyon_Zamani,Tutmaya Gecis Basinci,Mengene_meafesi,Tutma_Basinci,motor_devri,mal_alma_zamani,Malalma_Basinci,vida_hiz,Max_enjeksiyon_hizi,max_enjeksiyon_basinci,Operasyon Modu,Kalip_ici_ Sicaklik,Kalip_ici_Basinc
8.05.2023 02:06:27,229.8,126.02,230.0,232.9,230.0,230.1,220.0,76569.0,108.778,4178089.0,79.592,8.0,29.2,35760434.0,3634113.0,150.341,0.0,113.402,68.027,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:28,229.8,132.655,229.9,232.8,229.8,230.1,219.8,76569.0,113.104,4178089.0,79.615,8.0,29.3,36780208.0,3634113.0,150.341,0.0,111.115,76.726,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:29,229.8,139.9,230.0,232.9,229.8,230.0,220.0,76569.0,113.004,4178089.0,79.615,8.0,29.3,37800274.0,3634113.0,150.341,0.0,110.27,80.429,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:30,229.8,148.285,230.0,232.9,229.9,230.1,220.0,76569.0,109.773,4178089.0,79.615,8.0,29.3,38800710.0,3634113.0,150.341,0.0,111.513,90.909,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:31,229.9,162.165,230.0,232.9,230.0,230.1,220.0,76569.0,23.118,4178089.0,79.615,21.0,29.2,39860274.0,3634113.0,150.341,0.0,17.997,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:32,230.0,163.915,230.0,232.9,230.0,230.1,220.0,76569.0,1.641,4178089.0,79.592,21.0,29.2,40879955.0,3634113.0,150.341,0.0,1.293,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:33,230.0,164.241,230.0,232.9,230.0,230.1,220.0,76569.0,0.199,4178089.0,79.615,21.0,29.3,41899822.0,3634113.0,150.341,0.0,0.199,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:34,230.0,164.363,229.9,232.8,229.9,230.0,219.9,76569.0,0.0,4178089.0,79.615,21.0,29.3,42919764.0,3634113.0,150.341,0.0,0.0,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:35,230.0,164.526,229.9,232.8,229.9,230.0,219.9,76569.0,0.0,4178089.0,79.615,21.0,29.2,43939823.0,3634113.0,150.341,0.0,0.0,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:36,230.0,164.648,230.0,232.8,229.9,230.0,220.0,76569.0,0.0,4178089.0,79.592,21.0,29.2,44939836.0,3634113.0,150.341,0.0,0.0,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:37,230.0,164.77,230.0,232.9,230.0,230.0,219.9,76569.0,35.795,4178089.0,79.728,1.0,29.3,45960240.0,3634113.0,150.341,23.018,38.48,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:38,230.4,164.852,229.9,232.9,229.8,230.0,219.9,76569.0,37.337,4178089.0,79.706,1.0,29.3,46979928.0,3634113.0,150.341,402.593,0.0,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:39,230.1,164.892,229.9,232.8,229.9,230.0,219.9,76569.0,4.176,4178089.0,79.751,1.0,29.2,47980580.0,3634113.0,150.341,503.983,2.436,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:40,230.4,164.974,229.9,232.8,229.9,230.0,219.9,76569.0,23.615,4178089.0,92.956,5.0,29.2,49000630.0,3634113.0,150.341,504.124,29.83,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:41,230.3,164.933,229.9,232.8,230.0,230.1,220.1,76569.0,6.264,4178089.0,109.672,6.0,29.2,49999895.0,3634113.0,150.341,504.124,4.723,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:42,230.3,164.974,229.9,232.9,230.0,230.0,220.0,76569.0,0.348,4178089.0,109.672,6.0,29.2,51019939.0,3634113.0,150.341,504.124,0.298,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:43,230.3,165.014,230.0,232.9,230.0,230.0,219.9,76569.0,0.0,4178089.0,79.774,0.0,29.2,52039987.0,3634113.0,150.341,504.124,0.0,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:44,230.3,164.974,229.9,232.8,229.9,230.0,220.1,76569.0,0.0,4178089.0,79.796,0.0,29.2,53060122.0,3634113.0,150.341,504.124,0.0,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:45,230.4,164.974,230.0,232.8,230.0,230.0,220.0,76570.0,22.72,0.0,79.796,2.0,29.2,260285.0,3634113.0,150.341,504.124,11.435,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:47,230.4,164.974,230.0,232.8,230.0,230.0,220.0,76570.0,5.966,0.0,79.819,2.0,29.2,1279706.0,3634113.0,150.341,207.691,6.413,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:48,230.5,164.974,230.0,232.9,230.0,230.0,219.9,76570.0,3.082,0.0,79.796,2.0,29.2,2299948.0,3634113.0,150.341,24.912,6.911,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:49,230.5,164.974,230.0,232.8,230.0,230.1,219.9,76570.0,72.088,0.0,79.751,2.0,29.2,3319763.0,3634113.0,150.341,2.838,93.018,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:50,230.3,164.974,229.9,232.9,229.9,230.0,220.0,76570.0,20.831,0.0,79.592,2.0,29.2,4320019.0,3634113.0,150.341,0.0,16.058,0.0,24539736.0,117.528,0.0,41.446,151.186,3.0,46.350163,4.016718
8.05.2023 02:06:51,230.3,164.933,230.0,232.9,230.0,230.1,220.0,76570.0,36.392,4178375.0,79.615,0.0,29.3,5340127.0,0.0,150.341,0.0,10.192,0.0,24520280.0,117.528,40.703,18.125,40.071,3.0,46.350163,4.016718
8.05.2023 02:06:52,230.3,126.834,229.9,232.9,230.0,230.1,220.0,76570.0,100.028,4178375.0,79.615,7.0,29.2,6360491.0,0.0,150.341,0.0,102.564,0.0,24520280.0,117.528,61.058,41.044,102.962,3.0,46.350163,4.016718
8.05.2023 02:06:53,230.3,85.763,230.0,232.9,230.0,230.1,220.1,76570.0,123.196,4178375.0,79.615,7.0,29.2,7400035.0,0.0,150.341,0.0,126.776,0.0,24520280.0,117.528,40.707,41.044,127.521,3.0,46.350163,4.016718
8.05.2023 02:06:54,230.1,46.688,230.0,232.9,230.0,230.1,219.8,76570.0,150.391,4178375.0,79.615,7.0,29.2,8420041.0,0.0,150.341,0.0,151.186,0.0,24520280.0,117.528,20.351,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:06:55,230.1,29.673,229.8,232.9,229.8,230.1,220.0,76570.0,51.953,4178375.0,79.615,10.0,29.2,9420075.0,3658077.0,150.391,0.0,53.097,0.0,24520280.0,117.528,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:06:56,230.0,27.435,230.0,233.0,230.0,230.1,220.1,76570.0,51.406,4178375.0,79.592,10.0,29.2,10440082.0,3658077.0,150.391,0.0,51.257,0.0,24520280.0,117.528,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:06:57,230.2,25.969,230.0,233.0,230.0,230.1,220.0,76570.0,51.406,4178375.0,79.615,10.0,29.2,11479971.0,3658077.0,150.391,0.0,51.307,0.0,24520280.0,117.528,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:06:58,230.2,25.196,229.9,232.9,230.0,230.0,220.0,76570.0,51.257,4178375.0,79.615,10.0,29.2,12480144.0,3658077.0,150.391,0.0,51.257,0.0,24520280.0,117.528,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:06:59,230.3,24.707,230.0,232.9,230.0,230.0,220.0,76570.0,51.307,4178375.0,79.615,10.0,29.3,13500137.0,3658077.0,150.391,0.0,51.357,0.0,24520280.0,117.528,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:00,230.4,24.422,229.9,232.9,230.0,230.1,220.0,76570.0,51.207,4178375.0,79.592,10.0,29.2,14540008.0,3658077.0,150.391,0.0,51.158,0.0,24520280.0,117.528,20.351,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:01,230.4,34.232,230.0,232.9,230.0,230.1,219.9,76570.0,111.861,4178375.0,79.592,8.0,29.2,15640731.0,3658077.0,150.391,0.0,117.528,0.0,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:02,230.5,38.872,229.8,232.9,229.9,230.0,219.9,76570.0,111.96,4178375.0,79.592,8.0,29.2,16660929.0,3658077.0,150.391,0.0,111.115,89.021,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:03,230.3,43.838,229.9,232.9,229.9,230.1,220.0,76570.0,109.325,4178375.0,79.592,8.0,29.2,17680722.0,3658077.0,150.391,0.0,113.601,55.249,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:04,230.5,48.397,230.0,232.8,230.0,230.1,219.9,76570.0,111.215,4178375.0,79.615,8.0,29.2,18700663.0,3658077.0,150.391,0.0,113.004,49.342,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:05,230.5,52.793,229.9,232.9,230.0,230.0,220.0,76570.0,109.773,4178375.0,79.592,8.0,29.2,19699886.0,3658077.0,150.391,0.0,113.153,47.319,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:06,230.5,57.149,229.9,232.8,230.0,230.1,220.0,76570.0,110.021,4178375.0,79.592,8.0,29.1,20700290.0,3658077.0,150.391,0.0,112.358,47.319,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:07,230.5,61.463,230.0,232.9,230.0,230.1,220.0,76570.0,110.568,4178375.0,79.592,8.0,29.2,21720097.0,3658077.0,150.391,0.0,112.408,47.544,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:08,230.5,65.656,229.8,232.8,229.9,230.0,220.1,76570.0,111.065,4178375.0,79.615,8.0,29.2,22740266.0,3658077.0,150.391,0.0,110.32,47.468,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:09,230.5,69.848,229.9,232.9,229.9,230.1,220.0,76570.0,111.364,4178375.0,79.615,8.0,29.3,23760487.0,3658077.0,150.391,0.0,110.171,47.847,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:10,230.5,73.959,229.9,232.8,229.9,230.0,219.9,76570.0,111.065,4178375.0,79.592,8.0,29.2,24780133.0,3658077.0,150.391,0.0,110.32,47.319,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:11,230.5,77.989,230.0,232.8,229.9,230.1,219.9,76570.0,111.016,4178375.0,79.615,8.0,29.2,25780729.0,3658077.0,150.391,0.0,112.805,47.319,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:12,230.5,81.978,230.0,232.8,229.9,230.1,220.0,76570.0,109.723,4178375.0,79.615,8.0,29.2,26800598.0,3658077.0,150.391,0.0,112.209,46.512,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:13,230.5,86.048,229.9,232.8,229.9,230.0,219.9,76570.0,110.717,4178375.0,79.615,8.0,29.2,27820536.0,3658077.0,150.391,0.0,111.612,47.468,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:14,230.4,90.241,229.9,232.9,229.9,230.0,220.0,76570.0,109.574,4178375.0,79.615,8.0,29.2,28840729.0,3658077.0,150.391,0.0,109.176,48.465,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:15,230.4,94.596,229.9,232.8,230.0,230.0,220.0,76570.0,111.513,4178375.0,79.592,8.0,29.2,29839895.0,3658077.0,150.391,0.0,110.22,50.761,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:16,230.3,101.801,230.0,232.8,229.9,230.0,219.9,76570.0,110.867,4178375.0,79.592,8.0,29.3,31480614.0,3658077.0,150.391,0.0,111.165,50.847,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:17,230.1,106.808,230.0,232.9,229.9,230.0,219.9,76570.0,112.109,4178375.0,79.615,8.0,29.3,32500582.0,3658077.0,150.391,0.0,108.48,53.571,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
8.05.2023 02:07:18,230.3,112.303,229.9,232.8,229.9,230.0,219.8,76570.0,111.662,4178375.0,79.592,8.0,29.2,33540158.0,3658077.0,150.391,0.0,109.773,58.14,24520280.0,117.578,0.0,41.044,151.236,3.0,46.350163,4.016718
